ID,Club,ClubNumber,ClubJoined
224104,Rosario Central,4,2020
182632,Atakaş Hatayspor,7,2020
229215,Al Batin,10,2020
245597,Málaga CF,2,2017
210450,Genoa,94,2021
189462,Reading,23,2021
234514,ESTAC Troyes,19,2019
251410,Inter Miami CF,26,2021
190738,SpVgg Greuther Fürth,16,2019
219411,Club Brugge KV,87,2021
225555,Demir Grup Sivasspor,77,2021
234515,BSC Young Boys,25,2020
200212,VfL Bochum 1848,21,2021
203796,Universidad Católica,13,2021
217620,Royal Antwerp FC,30,2018
230420,Bahia,9,2021
240916,1. FC Köln,7,2021
186132,Reading,15,2017
243989,AD Alcorcón,12,2021
215062,Damac FC,90,2020
239127,Club Deportivo Guadalajara,2,2015
241501,Club Libertad,20,2014
231448,Feyenoord,14,2016
205081,FC Tokyo,9,2018
207897,SV Werder Bremen,3,2021
230681,Atalanta,13,2020
199000,KV Kortrijk,5,2020
207960,Real Sporting de Gijón,7,2019
205401,Ulsan Hyundai FC,8,2021
222553,SpVgg Greuther Fürth,22,2021
201818,Fatih Karagümrük S.K.,7,2021
253274,Deportivo Cali,10,2021
206171,Orlando City Soccer Club,11,2020
234843,VfL Bochum 1848,29,2016
193884,Stoke City,7,2018
238941,Fatih Karagümrük S.K.,29,2020
237566,Ferencvárosi TC,16,2021
211626,Piast Gliwice,92,2021
241406,Fútbol Club Juárez,35,2021
168354,Fatih Karagümrük S.K.,2,2020
204193,Hannover 96,6,2021
205985,RSC Anderlecht,24,2017
229793,Yeni Malatyaspor,30,2021
193185,Millwall,11,2021
201122,Bristol City,22,2019
223138,Nîmes Olympique,23,2014
234914,KV Oostende,6,2020
221600,West Bromwich Albion,16,2019
240034,AC Sparta Praha,19,2017
187298,Santos Laguna,20,2019
193186,Birmingham City,1,2020
187043,Queens Park Rangers,7,2021
221860,FC Augsburg,8,2019
223652,Hannover 96,10,2021
223136,Kasimpaşa SK,11,2019
241823,Tigres U.A.N.L.,18,2021
231588,RCD Mallorca,2,2015
215965,Al Hazem,99,2019
211354,Fiorentina,24,2017
205212,SD Huesca,7,2016
207516,Nagoya Grampus,40,2021
233372,Club Libertad,8,2021
181404,Portland Timbers,33,2017
192156,Futebol Clube de Famalicão,3,2021
176285,Free agent,,2021
205215,Al Faisaly,3,2017
253341,Independiente del Valle,5,2018
205726,Real Oviedo,15,2020
231070,San Lorenzo de Almagro,14,2019
189342,Juventus,23,2014
200607,1. FC Nürnberg,16,2021
201887,Preston North End,11,2015
230564,TSG Hoffenheim,20,2020
216229,AJ Auxerre,21,2018
209485,Holstein Kiel,8,2016
234570,Celtic,17,2016
216391,Changchun Yatai FC,11,2021
190535,CD Tenerife,24,2021
231240,Fatih Karagümrük S.K.,9,2017
233800,FK Bodø/Glimt,5,2016
228681,Watford,31,2020
230218,Fluminense,4,2021
237642,FC Basel 1893,28,2017
243014,Brentford,19,2019
240970,Middlesbrough,10,2021
208459,Bologna,35,2018
228171,Melbourne Victory,7,2021
192587,Benevento,23,2020
199244,FC Viktoria Plzeň,2,2012
228684,Blackburn Rovers,2,2015
211527,FC Cartagena,10,2019
234054,FBC Melgar,12,2020
152997,Racing Club,20,2019
240963,Unión de Santa Fe,11,2020
229541,Club Deportes Tolima,31,2018
212035,Birmingham City,11,2019
220739,Independiente del Valle,11,2021
156483,Atlético Tucumán,1,2012
228419,Barnsley,6,2019
229699,Club América,14,2019
189508,LA Galaxy,7,2021
222022,Club Atlético Lanús,26,2017
193860,SK Rapid Wien,13,2019
213573,Karlsruher SC,35,2019
187205,Club América,2,2020
196934,Beşiktaş JK,10,2012
206662,FC Dallas,24,2012
209990,SK Rapid Wien,1,2015
197786,AC Monza,2,2020
261529,Free agent,,2020
244377,Vitória de Guimarães,4,2021
241976,SC Braga,12,2016
193337,US Salernitana 1919,22,2021
223033,1. FC Köln,22,2017
222521,1. FC Heidenheim 1846,5,2019
221753,Fortuna Düsseldorf,31,2015
185144,Lecce,9,2020
244280,SpVgg Greuther Fürth,6,2018
238392,KAA Gent,6,2019
235834,U.C. Sampdoria,12,2019
207928,Celtic,18,2013
197688,AS Saint-Étienne,11,2017
193847,FC Seoul,5,2014
258615,Athletic Club de Bilbao,19,2019
186935,FC Vizela,6,2021
251191,Clermont Foot 63,11,2019
198970,Columbus Crew,4,2017
229179,Puebla FC,10,2018
235161,FC Girondins de Bordeaux,9,2019
211009,Blackburn Rovers,26,2012
258370,PFC CSKA Moscow,3,2020
245058,SK Sturm Graz,10,2018
232514,Argentinos Juniors,8,2019
230466,Fluminense,9,2021
221250,Vélez Sarsfield,16,2021
240193,VfL Bochum 1848,20,2017
230464,Santos,15,2021
229435,FC Twente,14,2019
199231,Ulsan Hyundai FC,23,2015
230718,Ferencvárosi TC,21,2017
192317,Aston Villa,12,2013
230461,Santos,11,2021
179516,Fortuna Düsseldorf,28,2017
204092,Heracles Almelo,1,2018
239671,Elche CF,11,2020
228151,RSC Anderlecht,8,2020
213815,Brøndby IF,11,2018
221488,FC Dallas,12,2013
183346,FC Basel 1893,20,2018
242737,Incheon United FC,10,2021
227633,FC Utrecht,23,2019
215089,Argentinos Juniors,22,2021
199729,New York Red Bulls,77,2016
193584,FC St. Pauli,9,2020
204334,Holstein Kiel,1,2019
212023,Chicago Fire Football Club,27,2020
215703,Shakhtar Donetsk,5,2021
244376,Dynamo Kyiv,8,2015
198553,VfL Bochum 1848,2,2019
214937,Argentinos Juniors,6,2021
223641,1. FC Union Berlin,25,2019
228505,FK Austria Wien,1,2015
184626,Godoy Cruz,2,2021
196916,Cardiff City,21,2019
215604,DSC Arminia Bielefeld,27,2018
223284,Nîmes Olympique,4,2019
226356,Genoa,93,2021
230452,Ceará Sporting Club,15,2021
230708,Nottingham Forest,4,2015
193844,Unión Deportiva Almería,8,2021
205365,FC Viktoria Plzeň,10,2015
213813,IFK Norrköping,7,2018
165429,FCSB (Steaua),28,2021
231733,Unión Deportiva Almería,10,2021
192565,Trabzonspor,29,2021
213302,New York City FC,17,2018
223231,FCSB (Steaua),10,2016
242998,Standard de Liège,9,2017
198455,IF Elfsborg,24,2020
230988,Hajduk Split,23,2021
245062,Club Necaxa,26,2020
212045,AC Sparta Praha,17,2021
230441,Atlético Clube Goianiense,7,2021
212226,Universitatea Craiova,16,2020
257025,Olympique de Marseille,20,2021
236033,Levante Unión Deportiva,34,2016
198145,AEK Athens,11,2021
169216,Southampton,7,2014
230477,Palmeiras,16,2021
241708,CD Tondela,5,2019
230188,Grêmio,13,2021
228908,Clermont Foot 63,8,2019
221740,Antalyaspor,17,2019
190507,SD Eibar,5,2021
212778,Seongnam FC,3,2021
200746,Rangers FC,4,2021
230185,Palmeiras,1,2021
239106,Fortuna Düsseldorf,22,2017
223017,İstanbul Başakşehir FK,42,2021
210985,Sheffield United,23,2019
220968,Gazişehir Gaziantep F.K.,18,2019
219688,Cádiz CF,4,2017
234791,Olympique de Marseille,14,2021
215079,Newell's Old Boys,8,2020
193062,Udinese Calcio,90,2020
226086,Club Atlético Lanús,27,2019
186405,San Lorenzo de Almagro,9,2020
242725,KRC Genk,42,2020
230181,Clube Atlético Mineiro,16,2021
228645,FC St. Gallen 1879,16,2019
195620,ATK Mohun Bagan FC,21,2019
233730,Reading,11,2016
239875,CD Tondela,23,2020
237604,Atlanta United,6,2021
236038,New York Red Bulls,6,2018
253695,SK Slavia Praha,24,2019
206506,ESTAC Troyes,5,2020
239272,Celtic,1,2020
235432,Stade de Reims,15,2019
246183,AC Sparta Praha,28,2015
226215,CD Leganés,9,2020
209063,Çaykur Rizespor,3,2021
203431,FC Tokyo,20,2021
202151,VfL Bochum 1848,16,2019
229542,Clermont Foot 63,1,2020
223654,Real Valladolid CF,20,2018
205478,SK Slavia Praha,22,2020
246790,Amiens SC,7,2018
228614,VfL Bochum 1848,17,2020
251139,Club Atlético Central Córdoba,18,2021
222982,Lecce,29,2021
212230,SC Braga,45,2020
206086,Huddersfield Town,3,2020
194053,SV Darmstadt 98,24,2021
245253,1. FSV Mainz 05,8,2018
229637,Çaykur Rizespor,23,2015
217605,F.C. København,12,2021
216325,Norwich City,28,2021
211461,Santa Clara,29,2019
206085,Newcastle United,23,2017
258308,Dynamo Kyiv,24,2015
207876,Málaga CF,18,2021
186115,Inter Miami CF,3,2021
253220,Vitesse,2,2019
222464,Deportivo Alavés,13,2017
235812,APOEL Nicosia FC,11,2021
230483,Juventude,21,2021
192537,Standard de Liège,22,2018
184089,Standard de Liège,10,2018
232729,Vélez Sarsfield,9,2020
232869,Gamba Osaka,3,2020
196952,Swansea City,24,2019
195671,Queens Park Rangers,11,2021
251990,Portimonense SC,20,2019
241750,Abha Club,10,2019
213846,Club Deportivo Palestino,17,2021
254548,OGC Nice,26,2021
253012,Club Atlético Lanús,1,2019
185172,US Salernitana 1919,1,2021
139860,FC Lorient,21,2020
143699,Çaykur Rizespor,77,2021
205594,Al Tai,8,2021
201043,Toulouse Football Club,10,2021
222546,SC Paderborn 07,17,2017
183632,VfL Bochum 1848,23,2018
246608,Club América,8,2021
234832,Birmingham City,3,2018
219984,Venezia FC,10,2019
234319,Blackburn Rovers,27,2016
256035,Stade Rennais FC,10,2021
246606,Rayo Vallecano,33,2021
239950,Futebol Clube de Famalicão,88,2020
230222,São Paulo,25,2021
225614,PFC CSKA Moscow,7,2018
213582,Arsenal de Sarandí,10,2020
258585,Hellas Verona,25,2020
193870,CD Tondela,88,2020
213530,Aarhus GF,6,2019
256287,Club Atlético Colón,35,2020
229155,FC Schalke 04,2,2015
229658,Vancouver Whitecaps FC,11,2020
215331,Vélez Sarsfield,18,2021
230434,Juventude,12,2021
244257,1. FSV Mainz 05,29,2018
235553,ESTAC Troyes,17,2019
235297,Vitesse,21,2018
232225,DSC Arminia Bielefeld,23,2021
230433,Sport Club Corinthians Paulista,11,2021
205601,Al Raed,3,2021
239136,Montpellier Hérault SC,31,2017
230176,Clube Atlético Mineiro,1,2021
219680,Clermont Foot 63,4,2019
233250,Sint-Truidense VV,9,2019
234015,Ceará Sporting Club,17,2021
232477,Al Nassr,2,2018
251675,PAOK,33,2019
172316,Levante Unión Deportiva,23,2018
189468,Aytemiz Alanyaspor,21,2021
230429,Sport Club Corinthians Paulista,5,2021
230685,Aytemiz Alanyaspor,23,2018
186140,Panathinaikos FC,9,2018
239645,Vélez Sarsfield,6,2021
204830,RCD Espanyol de Barcelona,19,2021
214302,Deportivo Toluca,20,2021
216351,Damac FC,17,2021
219167,Damac FC,14,2020
229148,Cagliari,33,2017
236316,Southampton,43,2016
198429,SK Slavia Praha,11,2017
207645,Jeonbuk Hyundai Motors,11,2020
245021,Deportivo Alavés,6,2019
215070,Godoy Cruz,24,2021
220702,FC Cartagena,20,2021
221982,ESTAC Troyes,26,2015
229150,AZ Alkmaar,3,2014
236830,AS Saint-Étienne,28,2019
258846,Club Atlético Peñarol,19,2020
237055,Ferencvárosi TC,11,2020
194334,Blackburn Rovers,5,2020
209695,FC Arouca,23,2021
240671,Hellas Verona,15,2019
208160,AEK Athens,88,2020
262908,Montpellier Hérault SC,26,2021
236287,Pachuca,7,2021
231423,Oud-Heverlee Leuven,24,2021
182270,Orlando Pirates,30,2017
190461,Molde FK,10,2021
251901,Portimonense SC,4,2019
220925,DSC Arminia Bielefeld,8,2021
182043,Shanghai Shenhua FC,19,2021
216860,FC Twente,7,2021
213777,Aalborg BK,8,2019
251673,PAOK,88,2019
176920,Argentinos Juniors,2,2011
188154,Holstein Kiel,10,2021
229654,CD Lugo,20,2020
183573,1. FC Heidenheim 1846,30,2015
240661,Bologna,55,2020
223765,Sint-Truidense VV,20,2021
211221,Hibernian,10,2015
258580,Galatasaray SK,7,2020
252692,Royal Charleroi S.C.,10,2019
243988,Unión Deportiva Las Palmas,2,2020
198420,RC Strasbourg Alsace,8,2020
241171,PSV,4,2017
202515,Unión Deportiva Las Palmas,10,2021
203537,Middlesbrough,21,2021
229648,Royal Charleroi S.C.,4,2020
212240,Beşiktaş JK,28,2021
195087,Real Zaragoza,4,2021
248831,FC Paços de Ferreira,24,2018
199191,FC Nantes,12,2019
223255,AZ Alkmaar,15,2021
223511,APOEL Nicosia FC,27,2021
226583,AIK,4,2020
201240,Preston North End,29,2017
228120,PEC Zwolle,5,2019
226811,CF Fuenlabrada,18,2019
208700,VfL Bochum 1848,7,2019
183546,Huddersfield Town,6,2013
179687,Cruz Azul,12,2020
243945,Elche CF,5,2017
239593,Oud-Heverlee Leuven,99,2021
231913,Feyenoord,17,2021
220649,Rosenborg BK,22,2021
244456,Spezia,28,2021
204776,Sint-Truidense VV,37,2021
248295,Mumbai City FC,25,2020
181479,Sydney FC,4,2016
234727,1. FC Köln,4,2021
143587,Newell's Old Boys,5,2021
215015,Club Atlético Colón,2,2020
186598,Swansea City,26,2015
248550,Athletic Club de Bilbao,12,2019
228838,San Jose Earthquakes,5,2021
212197,Hamburger SV,1,2019
242916,AZ Alkmaar,2,2020
212196,FC Midtjylland,7,2020
244963,FC Vizela,4,2021
190697,US Salernitana 1919,6,2021
227562,U.S. Sassuolo Calcio,11,2020
221931,İstanbul Başakşehir FK,32,2021
227819,Portimonense SC,94,2019
213746,FC Arouca,8,2021
193264,FC Luzern,29,2021
252144,CD Tondela,72,2019
229360,Club Atlético de San Luis,20,2019
229104,Al Faisaly,6,2020
221168,Fortuna Düsseldorf,9,2019
236015,Sheffield United,27,2017
205295,Damac FC,2,2021
226286,Argentinos Juniors,9,2020
216302,Club Atlético de San Luis,29,2021
143598,Club Atlético Aldosivi,1,2018
245741,Eintracht Frankfurt,29,2021
241389,Trabzonspor,7,2019
223212,Galatasaray SK,17,2020
202220,Nashville SC,17,2021
237291,SD Eibar,20,2019
234731,Real Zaragoza,3,2020
240099,Hellas Verona,19,2020
206307,Servette FC,32,2016
242162,AZ Alkmaar,18,2020
177922,Pogoń Szczecin,11,2021
203782,Crotone,10,2018
197382,APOEL Nicosia FC,7,2021
204549,KAA Gent,33,2020
202501,Girona FC,17,2021
219652,CA Osasuna,22,2019
215556,DSC Arminia Bielefeld,22,2019
241923,FC Sion,9,2020
222467,Raków Częstochowa,11,2020
233986,Ceará Sporting Club,4,2021
184290,Legia Warszawa,9,2020
199170,Çaykur Rizespor,14,2021
197890,Real Oviedo,3,2019
186881,LASK Linz,25,2017
250881,Unión Deportiva Las Palmas,3,2020
239617,Santos Laguna,6,2021
239361,AZ Alkmaar,10,2019
223489,Fatih Karagümrük S.K.,72,2021
191488,Racing Club,6,2017
210950,FC Cartagena,8,2021
254470,Leicester City,33,2017
203783,Stoke City,2,2019
239367,DSC Arminia Bielefeld,21,2021
244706,1. FC Union Berlin,17,2021
223458,Spartak Moskva,77,2019
251105,LA Galaxy,99,2021
226273,New York Red Bulls,27,2014
230368,Fortaleza,4,2021
220128,Newell's Old Boys,9,2018
212192,SpVgg Greuther Fürth,37,2018
200672,Guangzhou FC,5,2010
196318,İttifak Holding Konyaspor,10,2021
190430,Wigan Athletic,21,2021
245214,Club Deportes Tolima,7,2019
233231,CD Leganés,24,2014
222986,FC Tokyo,3,2010
225289,San Lorenzo de Almagro,29,2020
257288,Sparta Rotterdam,1,2020
219912,Kaizer Chiefs,21,2018
200968,Clermont Foot 63,21,2018
224242,Fatih Karagümrük S.K.,25,2017
205812,Fiorentina,1,2019
247802,Club Atlético Peñarol,20,2018
243526,U.S. Sassuolo Calcio,17,2019
198474,Club Bolívar,20,2021
229705,Stade Brestois 29,2,2019
190536,Gallos Blancos de Querétaro,8,2021
243016,Granada CF,7,2020
224584,Girona FC,3,2018
182343,Wuhan FC,28,2021
207431,SD Huesca,4,2020
196935,SD Huesca,23,2018
230470,Sport Club Corinthians Paulista,25,2021
230211,Cuiabá,2,2021
223302,FC Vizela,20,2019
211014,Moreirense FC,77,2021
203590,1. FC Nürnberg,19,2021
190021,AD Alcorcón,10,2020
232517,Club Atlético Huracán,24,2019
231749,RCD Espanyol de Barcelona,2,2021
245572,Spartak Moskva,92,2015
199236,Ulsan Hyundai FC,33,2020
199157,FC Cartagena,19,2021
199413,SV Darmstadt 98,11,2017
199669,Inter Miami CF,6,2020
167669,Inter Miami CF,22,2020
235002,Moreirense FC,3,2019
229882,Al Raed,5,2019
212474,Vitória de Guimarães,88,2021
200698,Inter Miami CF,32,2021
253177,Valencia CF,4,2019
233977,Sport Club Corinthians Paulista,1,2021
232441,Gamba Osaka,1,2014
222969,FC Lorient,14,2019
220921,PAOK,44,2019
220665,SK Sturm Graz,5,2020
213497,Djurgårdens IF,4,2016
238072,VfL Bochum 1848,38,2019
198136,Hellas Verona,32,2019
255223,Bayer 04 Leverkusen,31,2021
234999,Club Cerro Porteño,13,2021
233974,Grêmio,24,2021
230390,Atlético Clube Goianiense,13,2021
233795,Blackburn Rovers,22,2019
209987,SV Darmstadt 98,1,2019
214772,Estudiantes de La Plata,15,2013
251450,Gil Vicente FC,55,2019
202814,Derby County,2,2020
263230,Cádiz CF,29,2021
244797,Boavista FC,9,2017
224317,Argentinos Juniors,7,2021
219709,Deportivo Alavés,12,2019
240956,Gimnasia y Esgrima La Plata,32,2017
219452,Newell's Old Boys,20,2019
250939,Pogoń Szczecin,1,2019
227642,IFK Norrköping,9,2021
211522,New York City FC,6,2017
212282,Toulouse Football Club,12,2012
230969,KV Kortrijk,10,2019
158777,RB Leipzig,13,2019
211513,Derby County,10,2017
207929,Demir Grup Sivasspor,16,2021
205369,KV Mechelen,16,2017
243956,Hajduk Split,4,2021
232692,Atlético Tucumán,8,2019
229694,Jeonbuk Hyundai Motors,27,2019
237630,SD Ponferradina,4,2019
172862,Malmö FF,4,2021
242238,FC Red Bull Salzburg,22,2020
138306,Mumbai City FC,9,2021
247361,FC Red Bull Salzburg,11,2021
213313,Sporting Kansas City,54,2021
202305,Jeonbuk Hyundai Motors,14,2013
188992,Club Olimpia,27,2011
243008,Kasimpaşa SK,7,2019
235840,AC Monza,16,2016
204352,Göztepe SK,15,2021
245055,Racing Club,29,2018
244287,Olympiacos CFP,17,2016
237631,RC Strasbourg Alsace,12,2018
232511,Sanfrecce Hiroshima,19,2015
232255,Vélez Sarsfield,23,2017
225855,Angers SCO,23,2019
211263,RSC Anderlecht,2,2019
205887,Barnsley,9,2019
190014,Fatih Karagümrük S.K.,93,2020
236303,Gil Vicente FC,25,2021
142721,Club Atlético de San Luis,1,2021
232207,Atlético de Madrid,20,2019
237647,Eintracht Frankfurt,7,2020
206159,Genoa,2,2021
246350,FC Lorient,10,2018
233550,LA Galaxy,11,2021
232526,Parma,25,2018
230478,Atlético Clube Goianiense,14,2021
221774,Henan Songshan Longmen FC,7,2018
204366,Brighton & Hove Albion,27,2018
191565,Vissel Kobe,10,2021
251213,Club Atlético Central Córdoba,5,2012
236621,Clermont Foot 63,26,2016
220493,Lecce,30,2018
215117,Rosario Central,13,2021
237132,FC Sochaux-Montbéliard,28,2019
233292,Deportivo Toluca,6,2020
225356,Santos Laguna,23,2021
230479,RB Bragantino,15,2021
199504,FC Basel 1893,34,2010
243019,Brighton & Hove Albion,68,2019
217168,Club Atlas,4,2020
233812,1. FSV Mainz 05,23,2021
207444,Atlanta United,22,2020
204372,Yukatel Kayserispor,17,2021
200532,KV Kortrijk,30,2015
185427,AFC Bournemouth,1,2021
233299,Yokohama FC,50,2018
232787,Nagoya Grampus,16,2019
191058,CFR Cluj,45,2011
242514,Piast Gliwice,26,2018
226130,SD Huesca,3,2021
239441,RCD Mallorca,7,2020
201041,Yukatel Kayserispor,21,2021
254544,Borussia Dortmund,20,2020
236368,Spezia,25,2016
230480,Grêmio,14,2021
252235,FC Lokomotiv Moscow,37,2019
200779,Peterborough United,9,2020
239306,Royal Antwerp FC,34,2021
204908,APOEL Nicosia FC,77,2020
252523,FC Luzern,7,2019
178283,Antalyaspor,25,2017
214379,Deportivo Cali,9,2021
224874,FK Bodø/Glimt,11,2021
227689,KV Mechelen,19,2020
213097,APOEL Nicosia FC,5,2021
211561,FC Vizela,9,2020
247144,KSV Cercle Brugge,10,2020
242280,Aberdeen,19,2018
232296,Portimonense SC,18,2020
230248,Palmeiras,44,2021
211048,Demir Grup Sivasspor,8,2018
203624,AEK Athens,21,2021
191079,Birmingham City,12,2017
234087,Barnsley,4,2018
203884,Torino F.C.,26,2019
216428,APOEL Nicosia FC,17,2021
250954,TSG Hoffenheim,28,2019
222572,CD Leganés,1,2014
243530,KRC Genk,3,2021
238922,Colorado Rapids,14,2021
237386,Leicester City,22,2016
230474,Bahia,24,2021
206154,Patronato,7,2021
200778,Fulham,22,2018
188782,Reading,4,2019
200302,Derby County,4,2019
194669,SV Sandhausen,22,2021
257133,FC Luzern,20,2020
176237,Toronto FC,17,2015
213613,FC Utrecht,10,2018
207725,FC Utrecht,33,2020
188524,İstanbul Başakşehir FK,1,2014
253036,Stade de Reims,11,2018
244308,Junior FC,17,2018
247124,FC Girondins de Bordeaux,14,2019
220245,Amiens SC,32,2017
224198,Yeni Malatyaspor,45,2020
25798,Club Olimpia,24,2016
115909,FC Cartagena,7,2020
240837,Fenerbahçe SK,8,2020
235717,İstanbul Başakşehir FK,10,2020
214031,Junior FC,16,2019
223685,Unión La Calera,30,2021
212933,KAA Gent,29,2019
138949,Club Olimpia,21,2019
254660,1. FC Köln,29,2019
234180,Club Sporting Cristal,8,2021
230340,Fortaleza,14,2021
211908,Gazişehir Gaziantep F.K.,1,2019
190915,F.C. København,9,2020
248003,CFR Cluj,3,2019
160195,Cerro Largo Fútbol Club,53,2021
223686,Willem II,21,2020
230342,Atlético Clube Goianiense,12,2021
233045,KRC Genk,21,2021
232390,Club Atlético Talleres,77,2020
18122,Stade de Reims,30,2021
200138,Fulham,3,2020
182473,Guangzhou FC,35,2014
247497,VfL Bochum 1848,37,2019
242633,Brøndby IF,19,2018
237257,San Jose Earthquakes,14,2017
198857,Empoli,6,2018
237256,San Jose Earthquakes,11,2021
216520,Club Atlético de San Luis,16,2020
176071,Nashville SC,6,2019
235719,Club Atlético Banfield,20,2021
231111,1. FSV Mainz 05,42,2015
229319,Nashville SC,99,2019
217287,KAA Gent,13,2021
236998,Middlesbrough,23,2017
211907,Karlsruher SC,8,2020
201155,Derby County,11,2021
253378,Belenenses SAD,4,2019
239810,Standard de Liège,26,2019
209597,Orlando City Soccer Club,25,2021
203965,Royal Antwerp FC,7,2021
186556,Shakhtar Donetsk,9,2011
241499,Barcelona Sporting Club,11,2021
230235,Associação Chapecoense de Futebol,6,2021
251994,FC Arouca,31,2021
213337,Al Faisaly,7,2021
243032,Valencia CF,19,2017
219736,Nottingham Forest,1,2021
180823,FC Viktoria Plzeň,14,2011
206423,Cádiz CF,5,2021
261206,Legia Warszawa,14,2021
240982,D.C. United,5,2018
239446,FC Paços de Ferreira,7,2019
208470,SV Darmstadt 98,32,2015
221629,Altay SK,7,2018
224189,Queens Park Rangers,6,2019
163261,Burnley,26,2017
220609,Real Zaragoza,11,2021
232898,Sanfrecce Hiroshima,10,2016
224962,Ettifaq FC,7,2016
223426,Pogoń Szczecin,23,2019
259265,Al Fateh,11,2020
192449,SC Paderborn 07,22,2021
233409,FC Augsburg,2,2020
204737,CD Tondela,7,2020
211903,Shimizu S-Pulse,32,2021
231360,San Lorenzo de Almagro,27,2021
231104,FC Midtjylland,73,2021
242879,KRC Genk,26,2018
230335,Fluminense,13,2021
226495,Philadelphia Union,17,2019
214463,Club Atlético Colón,19,2019
211559,Al Hazem,20,2021
202087,1. FC Nürnberg,5,2019
243558,Rayo Vallecano,23,2019
224146,Jagiellonia Białystok,11,2019
199570,Club Deportivo Guadalajara,17,2010
253073,KAA Gent,2,2021
244625,Huddersfield Town,2,2020
232081,Toronto FC,22,2019
225681,Barcelona Sporting Club,30,2021
211857,CD Tenerife,3,2019
208017,Al Fateh,8,2021
244112,FC St. Pauli,17,2020
235152,Fenerbahçe SK,16,2018
230800,Spezia,54,2020
222352,Celtic,10,2020
190607,Houston Dynamo,23,2019
216463,AJ Auxerre,22,2018
193422,Gazişehir Gaziantep F.K.,22,2021
214158,San Lorenzo de Almagro,5,2021
212626,Hertha BSC,7,2017
225682,Barcelona Sporting Club,2,2016
236696,Panathinaikos FC,11,2016
207507,Demir Grup Sivasspor,90,2021
242069,Tigres U.A.N.L.,35,2021
235413,AS Monaco,1,2020
201877,1. FC Nürnberg,24,2021
255380,Celtic,12,2020
245396,Dynamo Kyiv,89,2018
201876,Molde FK,9,2019
199572,CFR Cluj,10,2017
240787,U.S. Sassuolo Calcio,23,2021
239763,FC Basel 1893,99,2020
231571,América de Cali,21,2021
230291,RB Bragantino,7,2021
229011,FC Metz,6,2020
221587,Nottingham Forest,23,2018
237440,RSC Anderlecht,3,2017
208019,Stade Brestois 29,17,2019
192397,Reading,33,2019
235405,West Bromwich Albion,4,2016
215181,San Lorenzo de Almagro,30,2019
229260,FC Sion,33,2021
203910,Fulham,11,2020
252293,AS Monaco,14,2021
190084,Al Fayha,77,2021
164484,Malmö FF,27,2017
239491,Club Atlético Banfield,22,2017
230019,Clermont Foot 63,12,2018
214659,Club Universidad Nacional,23,2019
212099,Vitesse,8,2020
188802,Borussia Dortmund,29,2008
230786,Levante Unión Deportiva,8,2014
177537,Platense,35,2021
240257,Dijon FCO,27,2021
169345,FK Austria Wien,29,2020
219777,Getafe CF,6,2020
143745,Galatasaray SK,66,2020
230278,Fluminense,71,2021
178566,Boca Juniors,13,2020
223879,Club Bolívar,18,2019
221323,FC Red Bull Salzburg,6,2018
204684,Fortuna Sittard,10,2020
200588,Jeonbuk Hyundai Motors,26,2020
200332,FC Augsburg,40,2019
182411,Shanghai Shenhua FC,11,2020
246667,Racing Club,40,2019
178571,Boavista FC,1,2018
3467,SD Ponferradina,10,2017
234376,Göztepe SK,11,2021
252042,Watford,10,2020
171146,Ettifaq FC,23,2018
199562,Sporting Kansas City,6,2017
234889,FC Augsburg,24,2018
230281,RB Bragantino,10,2021
202889,Galatasaray SK,5,2021
236695,Málaga CF,8,2020
184472,Malmö FF,13,2021
242534,New York Red Bulls,23,2018
199776,AC Monza,5,2021
231007,Dinamo Zagreb,27,2020
236382,Fútbol Club Juárez,15,2021
200798,Aytemiz Alanyaspor,28,2019
234333,Hertha BSC,11,2021
233053,İttifak Holding Konyaspor,18,2016
225629,Servette FC,15,2020
220509,Fiorentina,23,2012
240988,Lazio,19,2021
239964,Roma,14,2021
172198,ESTAC Troyes,40,2021
232358,San Jose Earthquakes,93,2019
228518,KAA Gent,21,2020
228517,Reading,8,2015
220837,Racing Club de Lens,3,2021
211365,Molde FK,19,2012
231263,Stade Rennais FC,23,2017
188000,Al Taawoun,55,2015
200857,FC Zürich,78,2021
226401,Norwich City,10,2020
260965,New York Red Bulls,9,2018
191333,Kawasaki Frontale,2,2009
246885,FC Red Bull Salzburg,7,2021
214373,Puebla FC,1,2021
211557,Benevento,93,2020
167524,Deportivo Toluca,3,2021
213092,Club de Foot Montréal,6,2017
205156,Jeonbuk Hyundai Motors,4,2019
261987,Real Madrid CF,27,2020
242019,Atlético Tucumán,9,2019
173155,AC Monza,17,2020
194146,Burnley,28,2010
176993,Vissel Kobe,9,2021
237153,Los Angeles FC,7,2017
233057,Club Atlas,22,2018
209061,Brøndby IF,27,2019
248484,Burnley,22,2021
245156,RCD Mallorca,5,2018
209828,Portimonense SC,76,2021
220061,US Salernitana 1919,23,2020
212381,Benevento,19,2019
191388,Gamba Osaka,39,2019
253340,Independiente del Valle,10,2017
251292,Fortuna Düsseldorf,33,2019
242075,Norwich City,24,2021
213659,Coventry City,23,2019
189338,Club Atlético Rentistas,7,2021
238490,Queens Park Rangers,10,2017
230298,Atlético Clube Goianiense,9,2021
220826,Junior FC,5,2020
220058,Cardiff City,1,2020
219546,Los Angeles FC,94,2020
237209,Club Brugge KV,15,2018
203161,Hannover 96,28,2019
